DAY,DATE,SHIP,LINE,ARRIVAL TIME,DEPARTURE TIME,TERMINAL,DESTINATION & NOTES
Sunday,7/23/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,7/23/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Tuesday,7/25/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"San Juan, PR/St. Thomas, USVI/Turks & Caicos"
Wednesday,7/26/2023,Caribbean Princess,Princess Cruises,7:00 AM,7:00 PM,BCT,"New England/Canadian Maritrimes/Quebec City, Que."
Wednesday,7/26/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,7/27/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Bermuda/Labadee, Haiti/Dominican Republic"
Thursday,7/27/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Bahamas/Port Canaveral, FL"
Friday,7/28/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,7/30/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,7/30/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,7/30/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Tuesday,8/1/2023,Insignia,Oceania Cruises,4:00 PM,---,MCT,In port overnight
Wednesday,8/2/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Dominican Republic/Turks & Caicos/Bahamas
Wednesday,8/2/2023,Insignia,Oceania Cruises,---,4:00 PM,MCT,"New England/Halifax, NS/Greenland/Iceland"
Friday,8/4/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas/Labadee, Haiti"
Saturday,8/5/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,8/6/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,"Halifax, NS/St. Johns, NL/Greenland/Iceland"
Sunday,8/6/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,8/6/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Sunday,8/6/2023,Viking Neptune,Viking Ocean Cruises,N/A,---,MCT,In port overnight
Monday,8/7/2023,Viking Neptune,Viking Ocean Cruises,---,N/A,MCT,"Halifax, NS/Greenland/Iceland"
Wednesday,8/9/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,8/10/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Bermuda
Thursday,8/10/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Thursday,8/10/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Bahamas/Port Canaveral, FL"
Sunday,8/13/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Miami, FL/Bahamas"
Sunday,8/13/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Sunday,8/13/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,8/14/2023,Caribbean Princess,Princess Cruises,7:00 AM,7:00 PM,BCT,"Nova Scotia/Greenland/St. Johns, NL"
Monday,8/14/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"St. John, NB/Halifax, NS"
Tuesday,8/15/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Wednesday,8/16/2023,Coral Princess,Princess Cruises,6:30 AM,---,MCT,In port overnight
Thursday,8/17/2023,Coral Princess,Princess Cruises,---,5:00 PM,MCT,Australia via Panama Canal
