Date,Ship,Line,Arrival,Departure,Terminal
11/13/23,Silver Shadow,Silversea Cruises,8:00 AM,---,MCT
11/14/23,Silver Shadow,Silversea Cruises,---,1:00 PM,MCT
11/15/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,N/A,MCT
11/15/23,Norwegian Jade,Norwegian Cruise Line,7:00 AM,N/A,MCT
11/17/23,Silver Nova,Silversea Cruises,7:00 AM,---,MCT
11/18/23,Silver Nova,Silversea Cruises,---,11:00 PM,MCT
11/19/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
11/19/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
11/19/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
11/20/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
11/26/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
11/26/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
11/26/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
11/27/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
11/28/23,Norwegian Breakaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
11/30/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
12/1/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
12/2/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
12/3/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
12/6/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
12/8/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
12/9/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
12/10/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
12/10/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
12/16/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
12/16/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
12/17/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
12/18/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
12/19/23,Norwegian Gem,Norwegian Cruise Line,7:00 AM,N/A,MCT
12/21/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
12/22/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
12/23/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
12/24/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
12/28/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
12/30/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
12/31/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
1/2/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
1/3/24,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
1/6/24,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
1/6/24,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT
1/7/24,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
1/12/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
1/14/24,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
1/15/24,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
1/17/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
1/18/24,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
1/23/24,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
1/26/24,MSC Meraviglia,MSC Cruises,7:00 AM,7:00 PM,BCT
1/27/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
1/29/24,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/2/24,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
2/4/24,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
2/6/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
2/9/24,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/11/24,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
2/11/24,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
2/16/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
2/17/24,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/18/24,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
2/23/24,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
2/25/24,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/25/24,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
2/26/24,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
